COUNTY,PRECINCT,POLL,ADDRESS,TYPE,Latitude,Longitude
FULTON,11R,Therrell D.M. High School,"3099 Panther Trail SW, Atlanta, GA 30311",NEW CHANGE,33.6989457,-84.4902643
FULTON,11M,Therrell D.M. High School,3099 Panther Trail SW,SCHOOL,33.6989457,-84.4902643
FULTON,11N,Therrell D.M. High School,3099 Panther Trail SW,SCHOOL,33.6989457,-84.4902643
FULTON,01R,Thomasville Recreation Center,"1835 Henry Thomas Dr, GA",PARK/REC CENTER,33.7044167,-84.3567415
COBB,MABLETON 03 MA03,THOMPSON COMMUNITY CENTER,"555 NICKAJACK RD SE, MABLETON, GA 30126",PARK/REC CENTER,33.8349569,-84.5397505
COBB,MARIETTA 4B MR4B,TOMMY NOBIS CENTER,"1480 BELLS FERRY RD, MARIETTA, GA 30066",PRIVATELY OWNED PROPERTY,33.986353,-84.553998
DEKALB,TONEY ELEM,Toney Elementary School,"2701 Oakland Terrace, Decatur 30032",SCHOOL,33.7272298,-84.2786405
COBB,BIG SHANTY 02 BG02,TOWNE VIEW BAPTIST CHURCH,"950 SHILOH RD NW, KENNESAW, GA 30144",CHURCH,34.0522994,-84.5785369
FULTON,CP081,Tracey Wyatt Recreation Center,2300 Godby Road,PARK/REC CENTER,33.6158262,-84.4649739
FULTON,CP083,Tracey Wyatt Recreation Center,2300 Godby Road,PARK/REC CENTER,33.6158262,-84.4649739
FULTON,CP084,Tracey Wyatt Recreation Center,2300 Godby Road,PARK/REC CENTER,33.6158262,-84.4649739
FULTON,CP08A,Tracey Wyatt Recreation Center,2300 Godby Road,PARK/REC CENTER,33.6158262,-84.4649739
FULTON,SC10,Tracey Wyatt Recreation Center,2300 Godby Road,PARK/REC CENTER,33.6158262,-84.4649739
CLAYTON,MO3,Travelers Rest Missionary Baptist Church,"6021 Maddox Rd, Morrow, GA",CHURCH,33.5900861,-84.3160132
GWINNETT,036 Trinity Lutheran Church,036 Trinity Lutheran Church,1826 Killian Hill Road Lilburn GA 30047,CHURCH,33.848325,-84.074008
DEKALB,TUCKER (TUC),Tucker First United Methodist Church,"Wesley Center2397 Fourth Street, Tucker 30084",CHURCH,33.8558769,-84.2129135
COBB,MARIETTA 5B MR5B,TURNER CHAPEL CATHEDRAL,"492 N MARIETTA PKWY, MARIETTA, GA 30060",CHURCH,33.958114,-84.537782
FULTON,04X1,Tuskegee Airmen Academy,1626 Westhaven Dr SW,SCHOOL,33.7322548,-84.4410227
FULTON,04X2,Tuskegee Airmen Academy,1626 Westhaven Dr SW,SCHOOL,33.7322548,-84.4410227
GWINNETT,028 Union Grove Baptist Church,028 Union Grove Baptist Church,4080 Fence Road Auburn GA 30011,CHURCH,34.0383814,-83.8668376
COBB,BRYANT 01 BT01 TRINITY,UNITED METHODIST CHURCH,"821 SOUTH GORDON ROAD SW, AUSTELL, GA 30168",CHURCH,33.78898,-84.5781436
COBB,GARRISON MILL 01 GM01,UNITY NORTH ATLANTA CHURCH,"4255 SANDY PLAINS RD, MARIETTA, GA 30066",CHURCH,34.0541305,-84.4491806
DEKALB,BROOKHAVEN (BHAVN),University Baptist Church,"1375 Fernwood Circle, NE, Atlanta 30319",CHURCH,33.8595819,-84.3346898
CLAYTON,EW1,Utopian Academy For The Arts,"2750 Forest Parkway, Ellenwood, GA",SCHOOL,33.6128479,-84.3001508
DEKALB,SHAMROCK,Valley Brook Baptist Church,"1198 N. Valley Brook Road, Decatur 30033",CHURCH,33.8135736,-84.2669599
DEKALB,VALLEY BROOK,Valley Brook Baptist Church,"1198 N. Valley Brook Road, Decatur 30033",CHURCH,33.8135736,-84.2669599
COBB,VAUGHAN 01 VA01,VAUGHAN ELEMENTARY SCHOOL,"5950 NICHOLS RD, POWDER SPRINGS, GA 30127",SCHOOL,33.9597031,-84.7240582
DEKALB,NORTH HAIRSTON,Victory Church,"1170 North Hairston Road, Stone Mountain 30083",CHURCH,33.8139607,-84.1949074
CLAYTON,FP5,Victory Point International Ministries,"721 Morrow Rd, Forest Park, GA",CHURCH,33.5902976,-84.3661727
COBB,VININGS 03 VG03,VININGS CHURCH,"4479 ATLANTA RD SE, SMYRNA, GA 30080",CHURCH,33.845505,-84.4897416
COBB,VININGS 01 VG01,VININGS LIBRARY,"4290 PACES FERRY RD, ATLANTA, GA 30339",LIBRARY,33.864248,-84.465329
GWINNETT,064 Voices of Faith,064 Voices of Faith,2500 Rockbridge Road Stone Mountain GA 30087,SCHOOL,33.8134689,-84.099266
FULTON,04T,W Oakland Missionary Bapt Ch,"1025 Violet St, GA",CHURCH,33.7273053,-84.4319548
GWINNETT,146 W.J. Cooper Elementary School,146 W.J. Cooper Elementary School,555 Ozora Rd Loganville GA 30052,SCHOOL,33.8916346,-83.9140418
COBB,OREGON 02 OR02,W.O. SMITHA MIDDLE SCHOOL,"2025 POWDER SPRINGS RD, MARIETTA, GA 30064",SCHOOL,33.8882078,-84.6121394
DEKALB,KNOLLWOOD,Wadsworth Elementary School,"3039 Santa Monica Drive, Decatur 30032",SCHOOL,33.7436343,-84.2657053
GWINNETT,098 Walnut Grove Elementary (GCPS),098 Walnut Grove Elementary (GCPS),75 Taylor Road Suwanee GA 30024,SCHOOL,34.0179386,-84.0225582
DEKALB,WARREN TECH,Warren Technical School,"3075 Alton Road, Chamblee 30341",SCHOOL,33.8798943,-84.2625351
FULTON,03D,Washington Park Library,"1116 M L King Jr Dr SW, GA",LIBRARY,33.7541539,-84.4237404
FULTON,04A,Washington Park Library,"1116 M L King Jr Dr SW, GA",LIBRARY,33.7541539,-84.4237404
PAULDING,WATSON GOV’T COMPLEX,WATSON GOV’T COMPLEX,"240 CONSTITUTION BLVD., DALLAS 30132",COUNTY BUILDING,33.917148,-84.8486112
FULTON,AP09A,Webb Bridge Middle School,4455 Webb Bridge Road,SCHOOL,34.0670743,-84.231509
FULTON,AP09B,Webb Bridge Middle School,4455 Webb Bridge Road,SCHOOL,34.0670743,-84.231509
FULTON,SC17A,"Welcome All Park, Community House",4255 Will Lee Road,MUNICIPAL BUILDING,33.6321463,-84.5263544
FULTON,SC17B,"Welcome All Park, Community House",4255 Will Lee Road,MUNICIPAL BUILDING,33.6321463,-84.5263544
FULTON,SC17C,"Welcome All Park, Community House",4255 Will Lee Road,MUNICIPAL BUILDING,33.6321463,-84.5263544
FULTON,SC18A,"Welcome All Park, Community House",4255 Will Lee Road,MUNICIPAL BUILDING,33.6321463,-84.5263544
FULTON,SC18B,"Welcome All Park, Community House",4255 Will Lee Road,MUNICIPAL BUILDING,33.6321463,-84.5263544
FULTON,SC18C,"Welcome All Park, Community House",4255 Will Lee Road,MUNICIPAL BUILDING,33.6321463,-84.5263544
COBB,POST OAK 01 PO01,WESLEY CHAPEL METHODIST CHURCH,"4495 SANDY PLAINS RD, MARIETTA, GA 30066",CHURCH,34.0602264,-84.4356461
HENRY,(28) Westside,Wesley Chapel United Methodist,"397 Racetrack Road, McDonough, GA 30253",CHURCH,33.4314447,-84.1335368
CLAYTON,OAK3,West Clayton Elementary School,"5580 Riverdale Rd, College Park, GA",SCHOOL,33.603234,-84.430529
COBB,KEMP 02 KP02,WEST COBB CHURCH,"1245 VILLA RICA RD, MARIETTA, GA 30064",CHURCH,33.9219444,-84.6530556
COBB,FREY 01 FY01,WEST COBB REGIONAL LIBRARY,"1750 DENNIS KEMP LN, KENNESAW, GA 30152",LIBRARY,33.99897,-84.7022269
COBB,LOST MOUNTAIN 01 LM01,WEST COBB SENIOR SERVICES CENTER,"4915 DALLAS HIGHWAY, POWDER SPRINGS, GA",SENIOR CENTER,33.9423116,-84.6952427
FULTON,04K,West Hunter Street Baptist Church,"1040 Ralph David Abernathy Blvd, GA",NEW CHANGE,33.7377778,-84.4216667
FULTON,04L,West Hunter Street Baptist Church,"1040 Ralph David Abernathy Blvd, GA",CHURCH,33.7377778,-84.4216667
FULTON,10B,West Manor Park,3240 West Manor Circle,PARK/REC CENTER,33.7351954,-84.4920029
FULTON,10I,West Manor Park,3240 West Manor Circle,PARK/REC CENTER,33.7351954,-84.4920029
PAULDING,WEST RIDGE CHURCH,WEST RIDGE CHURCH,"2945 HIRAM ACWORTH HWY., DALLAS 30157 (EAST PAULDING MIDDLE SCHOOL)",NEW CHANGE,33.935077,-84.7374599
GWINNETT,081 Westminster Presbyterian Church,081 Westminster Presbyterian Church,2208 E. Main Street Snellville GA 30078,CHURCH,33.8544762,-84.0040776
FULTON,10J,Westside Community Church,2114 Martin Luther King Jr Dr,CHURCH,33.7499799,-84.4571511
FULTON,05K,Wheat St Towers Apt Complex,375 Auburn Ave.,NEW CHANGE,33.755125,-84.375137
DEKALB,WHITE OAK,White Oak Hills Baptist Church,"5171 Redan Road, Stone Mountain 30088",CHURCH,33.7586708,-84.1808859
PAULDING,WHITE OAK PARK,WHITE OAK PARK,"298 MUSTANG DR., DALLAS 30132",PARK/REC CENTER,33.8795568,-84.8346359
DEKALB,WESLEY CHAPEL LIBRARY,William C. Brown Library,"2861 Wesley Chapel Road, Decatur 30034",LIBRARY,33.7043247,-84.2211536
CLAYTON,JB15,William J Lee Library,"865 Battlecreek Rd, Jonesboro, GA",LIBRARY,33.5532717,-84.363326
FULTON,11E1,William Walker Recreation Center,2405 Fairburn Road,PARK/REC CENTER,33.6886684,-84.5130108
FULTON,11E2,William Walker Recreation Center,2405 Fairburn Road,PARK/REC CENTER,33.6886684,-84.5130108
FULTON,11E3,William Walker Recreation Center,2405 Fairburn Road,PARK/REC CENTER,33.6886684,-84.5130108
FULTON,11P,William Walker Recreation Center,2405 Fairburn Road,NEW CHANGE,33.6886684,-84.5130108
FULTON,AP021,Wills Recreation Center,11925 Wills Road,PARK/REC CENTER,34.0713787,-84.3110484
FULTON,AP022,Wills Recreation Center,11925 Wills Road,PARK/REC CENTER,34.0713787,-84.3110484
FULTON,AP02B,Wills Recreation Center,11925 Wills Road,PARK/REC CENTER,34.0713787,-84.3110484
FULTON,JC07,Wilson Creek Elementary School,6115 Wilson Road,SCHOOL,34.0356693,-84.1827454
FORSYTH,25 WINDERMERE,Windermere Lodge,4444 Front Nine Dr. Cumming 30041,PRIVATELY OWNED PROPERTY,34.1354036,-84.1232724
FULTON,AP05,Windward Fire Station,3070 Market Place,FIRE DEPARTMENT,34.0918801,-84.2361279
COBB,DOBBINS 01 DI01,WINDY HILL COMMUNITY CENTER,"1885 ROSWELL ST SE, SMYRNA, GA 30080",PARK/REC CENTER,33.8945247,-84.5006904
GWINNETT,101 Winters Chapel Baptist Church,101 Winters Chapel Baptist Church,6625 Winters Chapel Road Doraville GA 30360,CHURCH,33.9631684,-84.2678481
GWINNETT,037 Winters Chapel United Methodist Church,037 Winters Chapel United Methodist Church,"5105 Winters Chapel Road Atlanta, GA 30360",CHURCH,33.9458109,-84.2695519
FULTON,FC01,Wolf Creek Library,3100 Enon Road SW,LIBRARY,33.6725307,-84.5741936
FULTON,SC01A,Wolf Creek Library,3100 Enon Road SW,LIBRARY,33.6725307,-84.5741936
FULTON,SC01B,Wolf Creek Library,3100 Enon Road SW,LIBRARY,33.6725307,-84.5741936
FULTON,SC01C,Wolf Creek Library,3100 Enon Road SW,LIBRARY,33.6725307,-84.5741936
FULTON,SC20,Wolf Creek Library,3100 Enon Road SW,LIBRARY,33.6725307,-84.5741936
FULTON,SS20,Woodland Elementary School,1130 Spalding Drive,SCHOOL,33.9614205,-84.3515759
FULTON,SS04,Woodland Elementary,"1130 Spalding Drive Atlanta, GA 30350",NEW CHANGE,33.9614205,-84.3515759
FULTON,SS26,Woodland Elementary,1130 Spalding Drive,NEW CHANGE,33.9614205,-84.3515759
DEKALB,WOODRIDGE ELEM,Woodridge Elementary School,"4120 Cedar Ridge Trail, Stone Mountain 30083",SCHOOL,33.742438,-84.200635
COBB,HIGHTOWER 01 HT01,WOODSTOCK CHURCH SHALLOWFORD,"3662 SHALLOWFORD RD, MARIETTA, GA",CHURCH,34.0328296,-84.4440001
GWINNETT,031 Woodward Mill Elementary (GCPS),031 Woodward Mill Elementary (GCPS),2020 Buford Drive Lawrenceville GA 30043,SCHOOL,34.0250886,-83.9878628
DEKALB,WYNBROOKE ELEM,Wynbrooke Elementary School,"440 Wicksbury Way, Stone Mountain 30087",SCHOOL,33.7880759,-84.1113273
COBB,MARIETTA 5A MR5A,ZION BAPTIST CHURCH,"165 LEMON ST, MARIETTA, GA 30060",CHURCH,33.9556087,-84.5482342
GWINNETT,075 Zoar United Methodist Church,075 Zoar United Methodist Church,3895 Zoar Church Road Snellville GA 30039,CHURCH,33.8099705,-84.045266
CHEROKEE,CANTON 10,First Baptist Canton,"1 Mission Point, Canton, GA 30114-4031 ",CHURCH,34.2696197,-84.4862792
CHEROKEE,UNIVETER 39,Cherokee County Senior Center,"1001 Univeter Road, Canton, GA 30115 ",SENIOR CENTER,34.1945713,-84.494892
CHEROKEE,MACEDONIA 27,Macedonia Elementary School,"10370 East Cherokee Drive, Canton, GA 30115",SCHOOL,34.2491961,-84.357502
CHEROKEE,LIBERTY 24,Liberty Elementary School,"10500 Bells Ferry Road, Canton, GA 30114 ",SCHOOL,34.1911319,-84.5352428
CHEROKEE,R T JONES 31,Canton City Hall,"110 Academy Street, Canton, GA 30114 ",MUNICIPAL BUILDING,34.2358432,-84.4921873
CHEROKEE,CLAYTON 13,Fire Station Community Center Airport Station # 21,"1190 Evenflo Drive, Ballground, GA 30107 ",FIRE DEPARTMENT,34.2905498,-84.4233803
CHEROKEE,ROSECREEK 32,Good Shepherd Lutheran Church,"1208 Rose Creek Drive, Woodstock, GA 30189 ",CHURCH,34.1150155,-84.5688538
CHEROKEE,BASCOMB 5,Bascomb Elementary School,"1335 Wyngate Parkway, Woodstock, GA 30189",SCHOOL,34.1309681,-84.5776188
CHEROKEE,FREEHOME 18,Calvary Baptist Church,"137 Hightower Road, Ball Ground, GA 30107 ",CHURCH,34.2598952,-84.3239356
CHEROKEE,HIGHTOWER 20,Calvary Baptist Church,"137 Hightower Road, Ball Ground, GA 30107 ",CHURCH,34.2598952,-84.3239356
CHEROKEE,R M MOORE 30,R M Moore Elementary School,"1375 Puckett Road, Waleska, GA 30183 ",SCHOOL,34.3390999,-84.5287716
CHEROKEE,WOODSTOCK 12 ,Woodstock City Church,"150 Ridgewalk Parkway, Woodstock, GA 30188 ",CHURCH,34.1175979,-84.516648
CHEROKEE,UNION HILL 38,Union Hill Community Center,"1780 A J Land Road, Canton, GA 30115 ",PARK/REC CENTER,34.1964662,-84.359093
CHEROKEE,WILDCAT 42,Holly Springs Elementary School,"1965 Hickory Road, Canton, GA 30115 ",SCHOOL,34.1723381,-84.4719667
CHEROKEE,TEASLEY 36 ,River GreenHeritage Club,"201 Clubhouse Drive, Canton, GA 30114 ",PRIVATELY OWNED PROPERTY,34.2242334,-84.5378099
CHEROKEE,DIXIE 16,Woodstock High School,"2010 Towne Lake Hills So Dr., Woodstock, GA 30189 ",SCHOOL,34.1009243,-84.5415976
CHEROKEE,TOONIGH 37,Johnston Elementary School,"2031 East Cherokee Drive, Woodstock, GA 30188 ",SCHOOL,34.1317157,-84.4935665
CHEROKEE,CARMEL 11,Carmel Elementary School,"2275 Bascomb-Carmel Road, Woodstock, GA 30189 ",SCHOOL,34.0968505,-84.5700561
CHEROKEE,NEESE 44,Allen Temple AME Church,"232 Arnold Mill Rd, Woodstock 30188",NEW CHANGE,34.1003661,-84.509356
CHEROKEE,BRADSHAW 8,Grow Church,"2510 East Cherokee Dr. Woodstock, GA 30188 ",CHURCH,34.1622736,-84.4245269
CHEROKEE,CONNS CREEK 14 ,Shiloh United Methodist Church,"253 Shiloh Church Road, Dawsonville, GA 30534",CHURCH,34.3510861,-84.2622829
CHEROKEE,HICKORY FLAT 19,Hickory Flat Elementary School,"2755 East Cherokee Drive, Canton, GA 30115 ",SCHOOL,34.1711409,-84.4237838
CHEROKEE,BALL GROUND 4 ,Ball Ground United Methodist Church,"3045 Canton Hwy., Ball Ground, GA 30107",CHURCH,34.3451566,-84.3817992
CHEROKEE,SALACOA 33,Goshen Baptist Church,"311 Goshen Church Way, Waleska, GA 30183 ",CHURCH,34.398579,-84.59137
CHEROKEE,LITTLE RIVER 26,Little River Elementary School,"3170 Trickum Road, Woodstock, GA 30188 ",SCHOOL,34.1055776,-84.474001
CHEROKEE,BELLS 6,Clark Creek Stem Academy,"3219 Hunt Rd., Acworth, GA 30102",SCHOOL,34.0881656,-84.6417814
CHEROKEE,HOLLY SPRINGS 22,Holly Springs Municipal Building,"3235 Holly Springs Pkwy, Holly Springs, GA 30115",MUNICIPAL BUILDING,34.1684149,-84.5042141
CHEROKEE,AVERY 3,Hickory Flat United Methodist Church,"4056 East Cherokee Drive, Canton, GA 30115",CHURCH,34.1844248,-84.4201795
CHEROKEE,AIR ACRES 1,Mill Creek Middle School,"442 Arnold Mill Road, Woodstock, GA 30188",SCHOOL,34.1174646,-84.4787849
CHEROKEE,HILLSIDE 21,Hillside United Methodist Church,"4474 Towne Lake Parkway, Woodstock, GA 30189",CHURCH,34.1299436,-84.570642
CHEROKEE,OAK GROVE 29,Victory Church,"4625 Highway 92, Acworth, GA 30102 ",CHURCH,34.0917158,-84.6118525
CHEROKEE,MOUNTAIN ROAD 28,Mountain Road Elementary School,"615 Mountain Road, Woodstock, GA 30188 ",SCHOOL,34.138635,-84.405845
CHEROKEE,KELLOGG 23,Prayer & Praise Christian Fellowship,"6409 Bells Ferry Road, Woodstock, GA 30189",CHURCH,34.1098399,-84.5823183
CHEROKEE,BOOTH 7,E T Booth Middle School,"6550 Putnam Ford Drive, Woodstock, GA 30189 ",SCHOOL,34.118284,-84.5615813
CHEROKEE,VICTORIA 40,New Victoria Baptist Church,"6659 Bells Ferry Rd., Woodstock, GA 30189 ",CHURCH,34.1292144,-84.5875392
CHEROKEE,DEER RUN 15,The Lodge at Deer Run,"7032 Hunters Ridge, Woodstock, GA 30189 ",PRIVATELY OWNED PROPERTY,34.1109038,-84.5430434
CHEROKEE,ARNOLD MILL 2,Arnold Mill Elementary School,"710 Arnold Mill Road, Woodstock, GA 30188",SCHOOL,34.107841,-84.438545
CHEROKEE,BRIDGEMILL 9 ,Hopewell Baptist Church,"78 Ridge Road, Canton, GA 30114 ",CHURCH,34.1733025,-84.556373
